file_date,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
2017-07-11 03:09:34 AM,260,Broad St & Bridge St,32,35,40.70365182,-74.01167797,In Service,1,0,Broad St & Bridge St,,,,,,False,2017-07-11 03:06:02 AM,
2017-07-11 03:09:34 AM,261,Johnson St & Gold St,17,27,40.69474881,-73.98362464,In Service,1,9,Johnson St & Gold St,,,,,,False,2017-07-11 03:08:11 AM,
2017-07-11 03:09:34 AM,262,Washington Park,1,24,40.6917823,-73.9737299,In Service,1,23,Washington Park,,,,,,False,2017-07-11 03:05:51 AM,
2017-07-11 03:09:34 AM,264,Maiden Ln & Pearl St,17,27,40.70706456,-74.00731853,In Service,1,8,Maiden Ln & Pearl St,,,,,,False,2017-07-11 03:07:39 AM,
2017-07-11 03:09:34 AM,265,Stanton St & Chrystie St,15,35,40.72229346,-73.99147535,In Service,1,20,Stanton St & Chrystie St,,,,,,False,2017-07-11 03:07:17 AM,
2017-07-11 03:09:34 AM,266,Avenue D & E 8 St,0,24,40.72368361,-73.97574813,In Service,1,24,Avenue D & E 8 St,,,,,,False,2017-07-11 03:09:23 AM,
2017-07-11 03:09:34 AM,267,Broadway & W 36 St,57,57,40.75097711,-73.98765428,In Service,1,0,Broadway & W 36 St,,,,,,False,2017-07-11 03:09:15 AM,
2017-07-11 03:09:34 AM,268,Howard St & Centre St,26,27,40.71910537,-73.99973337,In Service,1,0,Howard St & Centre St,,,,,,False,2017-07-11 03:06:22 AM,
2017-07-11 03:09:34 AM,270,Adelphi St & Myrtle Ave,2,23,40.69308257,-73.97178913,In Service,1,21,Adelphi St & Myrtle Ave,,,,,,False,2017-07-11 03:07:36 AM,
2017-07-11 03:09:34 AM,274,Lafayette Ave & Fort Greene Pl,3,31,40.68691865,-73.976682,In Service,1,28,Lafayette Ave & Fort Greene Pl,,,,,,False,2017-07-11 03:08:59 AM,
2017-07-11 03:09:34 AM,275,Washington Ave & Greene Ave,2,19,40.68650065,-73.96563307,In Service,1,17,Washington Ave & Greene Ave,,,,,,False,2017-07-11 03:08:16 AM,
2017-07-11 03:09:34 AM,276,Duane St & Greenwich St,23,25,40.71748752,-74.0104554,In Service,1,0,Duane St & Greenwich St,,,,,,False,2017-07-11 03:07:57 AM,
2017-07-11 03:09:34 AM,278,Concord St & Bridge St,4,19,40.69766564,-73.98476437,In Service,1,15,Concord St & Bridge St,,,,,,False,2017-07-11 03:05:43 AM,
2017-07-11 03:09:34 AM,279,Peck Slip & Front St,25,36,40.707873,-74.00167,In Service,1,6,Peck Slip & Front St,,,,,,False,2017-07-11 03:07:22 AM,
2017-07-11 03:09:34 AM,280,E 10 St & 5 Ave,29,31,40.73331967,-73.99510132,In Service,1,0,E 10 St & 5 Ave,,,,,,False,2017-07-11 03:08:28 AM,
2017-07-11 03:09:34 AM,281,Grand Army Plaza & Central Park S,57,57,40.7643971,-73.97371465,In Service,1,0,Grand Army Plaza & Central Park S,,,,,,False,2017-07-11 03:06:41 AM,
2017-07-11 03:09:34 AM,282,Kent Ave & S 11 St,12,27,40.707644944175705,-73.96841526031494,In Service,1,15,Kent Ave & S 11 St,,,,,,False,2017-07-11 03:09:21 AM,
2017-07-11 03:09:34 AM,284,Greenwich Ave & 8 Ave,43,43,40.7390169121,-74.0026376103,In Service,1,0,Greenwich Ave & 8 Ave,,,,,,False,2017-07-11 03:08:02 AM,
2017-07-11 03:09:34 AM,285,Broadway & E 14 St,48,51,40.73454567,-73.99074142,In Service,1,1,Broadway & E 14 St,,,,,,False,2017-07-11 03:05:54 AM,
2017-07-11 03:09:34 AM,289,Monroe St & Classon Ave,0,19,40.6845683,-73.95881081,In Service,1,19,Monroe St & Classon Ave,,,,,,False,2017-07-11 03:09:19 AM,
2017-07-11 03:09:34 AM,291,Madison St & Montgomery St,0,20,40.713126,-73.984844,In Service,1,20,Madison St & Montgomery St,,,,,,False,2017-07-11 03:08:47 AM,
2017-07-11 03:09:34 AM,293,Lafayette St & E 8 St,53,55,40.73020660529954,-73.99102628231049,In Service,1,0,Lafayette St & E 8 St,,,,,,False,2017-07-11 03:06:50 AM,
2017-07-11 03:09:34 AM,295,Pike St & E Broadway,2,24,40.71406667,-73.99293911,In Service,1,22,Pike St & E Broadway,,,,,,False,2017-07-11 03:06:53 AM,
2017-07-11 03:09:34 AM,296,Division St & Bowery,8,35,40.71413089,-73.9970468,In Service,1,22,Division St & Bowery,,,,,,False,2017-07-11 03:06:15 AM,
2017-07-11 03:09:34 AM,297,E 15 St & 3 Ave,26,27,40.734232,-73.986923,In Service,1,0,E 15 St & 3 Ave,,,,,,False,2017-07-11 03:08:08 AM,
2017-07-11 03:09:34 AM,301,E 2 St & Avenue B,0,37,40.72217444,-73.98368779,In Service,1,36,E 2 St & Avenue B,,,,,,False,2017-07-11 03:08:50 AM,
2017-07-11 03:09:34 AM,302,Avenue D & E 3 St,0,23,40.72082834,-73.97793172,In Service,1,23,Avenue D & E 3 St,,,,,,False,2017-07-11 03:07:16 AM,
2017-07-11 03:09:34 AM,303,Mercer St & Spring St,28,31,40.72362738,-73.99949601,In Service,1,2,Mercer St & Spring St,,,,,,False,2017-07-11 03:05:47 AM,
2017-07-11 03:09:34 AM,304,Broadway & Battery Pl,33,34,40.70463334,-74.01361706,In Service,1,0,Broadway & Battery Pl,,,,,,False,2017-07-11 03:06:47 AM,
2017-07-11 03:09:34 AM,305,E 58 St & 3 Ave,32,33,40.76095756,-73.96724467,In Service,1,0,E 58 St & 3 Ave,,,,,,False,2017-07-11 03:05:36 AM,
2017-07-11 03:09:34 AM,306,Cliff St & Fulton St,17,17,40.70823502,-74.00530063,In Service,1,0,Cliff St & Fulton St,,,,,,False,2017-07-11 03:08:31 AM,
2017-07-11 03:09:34 AM,307,Canal St & Rutgers St,3,3,40.71427487,-73.98990025,Not In Service,3,0,Canal St & Rutgers St,,,,,,False,2017-06-26 08:50:33 AM,
2017-07-11 03:09:34 AM,308,St James Pl & Oliver St,12,27,40.71307916,-73.99851193,In Service,1,15,St James Pl & Oliver St,,,,,,False,2017-07-11 03:07:14 AM,
2017-07-11 03:09:34 AM,309,Murray St & West St,30,41,40.7149787,-74.013012,In Service,1,0,Murray St & West St,,,,,,False,2017-07-11 03:07:26 AM,
2017-07-11 03:09:34 AM,310,State St & Smith St,4,36,40.68926942,-73.98912867,In Service,1,32,State St & Smith St,,,,,,False,2017-07-11 03:07:54 AM,
